"number","summa","creditor_inn","debtor_inn"
"62801/24/98082-ИП","5303963.9","7705522231","114360570"
"82194/24/98082-ИП","136418951.21","5024076350","9201000938"
"89837/24/98082-ИП","7142671.46","7705522231","114360570"
"144520/24/98082-ИП","4847609.89","7705522231","1436057000"
"209048/24/98082-ИП","18338323.75","7701105460","9904000000"
"210060/24/98082-ИП","2518807.42","7705522231","1436057000"
"209054/24/98082-ИП","77501622.29","7701105460","3032851800"
"209363/24/98082-ИП","2675615.14","7705522231","1436057000"
"74951/24/98086-ИП","128652963.88","7707083893","8602277068"
"12493/24/98086-ИП","253049690.46","6227007322","7737525980"
"15315/23/98086-ИП","61865058.48","7831001567","8602205070"
"3042/20/98089-ИП","29308870.81","8901023569","8911024836"
